"","n","Date","Course","Horse","Stake","Result","Result_comment","Price_taken","sp","win_total","pl_total","bet_profit_loss","running_profit_loss","cumulative_stake","win_percent_strike","profit_loss_percent_strike","win_percent_profit","comments","Price_taken_dec","SP_dec"
"86",86,2022-02-22,"Southwell","Lorna Cole",100,0,"unpl","9/1","10/1",21,46,-100,2807,8600,24.4186046511628,53.4883720930233,32.6395348837209,"Not fast enough for 5f here. Disappointing.",10,11
"87",87,2022-02-22,"Southwell","Thin Lizzy",100,0,"unpl","12/1","9/2",21,46,-100,2707,8700,24.1379310344828,52.8735632183908,31.1149425287356,"Well bckd. Forced onto inner so poorly positioned, but nothing at finish, no short term interest.",13,5.5
"88",88,2022-02-24,"Southwell","Patsy Fagan",100,0,"unpl","100/30","11/4",21,46,-100,2607,8800,23.8636363636364,52.2727272727273,29.625,"Pulled like a train - no finish left",4.3,3.8
"89",89,2022-02-24,"Newcastle","Another Bertie",100,0,"unpl","3/1","3/1",21,46,-100,2507,8900,23.5955056179775,51.685393258427,28.1685393258427,"Travelled well found nothing. Punished for deviating from usual MO - just for turnover.",4,4
"90",90,2022-02-25,"Lingfield","Sandie's Dream",100,0,"unpl","4/1","7/1",21,46,-100,2407,9000,23.3333333333333,51.1111111111111,26.7444444444444,"Friendless. Nightmare trip. Never in a comfortable rhythm, wide into straight, chance gone. Ignore.",5,8
"91",91,2022-02-25,"Lingfield","Rainbow Mirage",100,3,"3rd","4/1","13/2",21,47,-100,2307,9100,23.0769230769231,51.6483516483517,25.3516483516484,"Weak. Struggled to get a position from wide draw, unsuited by steady pace, couldn't quicken.",5,7.5
"92",92,2022-02-25,"Wolves","Sea Formula",100,0,"unpl","5/2","5/2",21,47,-100,2207,9200,22.8260869565217,51.0869565217391,23.9891304347826,"Beaten 4f out, outpaced and laboured hw only. Not one to be interested in.",3.5,3.5
"93",93,2022-02-28,"Wolves","Dusky Prince",100,0,"unpl","7/2","100/30",21,47,-100,2107,9300,22.5806451612903,50.5376344086022,22.6559139784946,"Outpaced throughout. Ran on late but never near the front. Needs further.",4.5,4.3
"94",94,2022-02-28,"Wolves","Macs Dilemma",100,2,"2nd","5/2","5/2",21,48,-100,2007,9400,22.3404255319149,51.063829787234,21.3510638297872,"Travelled well every chance but couldn't get past the favourite.",3.5,3.5
"95",95,2022-03-02,"Lingfield","Lennys Spirit",100,0,"unpl","15/2","16/5",21,48,-100,1907,9500,22.1052631578947,50.5263157894737,20.0736842105263,"Well backed upped in trip but far too free anchored in last and made no impression.",8.5,4.2
"96",96,2022-03-02,"Kempton","Tintoretto",100,0,"unpl","4.68ex","4/1",21,48,-100,1807,9600,21.875,50,18.8229166666667,"Price was suspiciously big for its chance. Last most of way and first horse beaten, abject run.",4.68,5
"97",97,2022-03-03,"Southwell","The Game Of Life",100,0,"unpl","9/1","7/1",21,48,-100,1707,9700,21.6494845360825,49.4845360824742,17.5979381443299,"Shocking trip. Tried to be handier, couldn't lie up, some late hw from poor pstn, nnl. Wants further.",10,8
"98",98,2022-03-05,"Lingfield","Placated",100,1,"Won*","15/2","4/1",22,49,750,2457,9800,22.4489795918367,50,25.0714285714286,"Confident ride by Kingscote. Midfield, tw, kicked 2 out and well on top finish.",8.5,5
"99",99,2022-03-05,"Lingfield","Anthem Nation",100,0,"unpl","12/1","12/1",22,49,-100,2357,9900,22.2222222222222,49.4949494949495,23.8080808080808,"Ambitious Crisford play, ran well for close 3rd of 7. Ridden from half way but finding, not quite enough.",13,13
"100",100,2022-02-06,"Sedgefield","Bay Of Intrigue",100,2,"2nd","100/30","11/4",22,50,-100,2257,10000,22,50,22.57,"Quirky, Hughes had to kid him into it, but had every chance and couldn't get past the winner.",4.3,3.8
"101",101,2022-02-07,"Wolves","Protected Guest",100,2,"2nd","10/1","11/2",22,51,-100,2157,10100,21.7821782178218,50.4950495049505,21.3564356435644,"Travelled superbly despite high head carriage. Came to win ff and looked good, but finisher got up on line.",11,6.5
"102",102,2022-03-08,"Wolves","Gonzaga",100,3,"3rd","4/1","11/2",22,52,-100,2057,10200,21.5686274509804,50.9803921568627,20.1666666666667,"Had a bad draw so taken back as expected.  Ran free and too far off pace but finished well. Too much to do.",5,6.5
"103",103,2022-03-08,"Wolves","Diamond Jill",100,0,"unpl","10/1","7/1",22,52,-100,1957,10300,21.3592233009709,50.4854368932039,19,"Ran respectably, going ok, ev ch but not quicken when needed, just missed the frame.",11,8
"104",104,2022-03-09,"Kempton","Salta Resta",100,0,"unpl","9/1","8/1",22,52,-100,1857,10400,21.1538461538462,50,17.8557692307692,"Changed tactics, prominent, faded. Ran too free. HT tipped winner which I thought would need further.",10,9
"105",105,2022-03-10,"Newcastle","Tanasoq",100,0,"unpl","15/2","11/1",22,52,-100,1757,10500,20.952380952381,49.5238095238095,16.7333333333333,"ETB - keen, rear, never got into it",8.5,12
"106",106,2022-03-11,"Wolves","Conducive",100,0,"unpl","16/5","11/4",22,52,-100,1657,10600,20.7547169811321,49.0566037735849,15.6320754716981,"Well enough positioned going ok till 3 out, first off bridle - limited late hw but never troubling the front.",4.2,3.8
"107",107,2022-03-12,"Kempton","The Defiant",100,1,"Won*","9/4","15/8",23,53,225,1882,10700,21.4953271028037,49.5327102803738,17.588785046729,"Looked nailed on from front over inner loop 5f, duly made all and held off the danger. Generous price.",3.2,2.9
"108",108,2022-03-12,"Kempton","Surrey Territories",100,0,"unpl","8/1","6/1",23,53,-100,1782,10800,21.2962962962963,49.0740740740741,16.5,"Hopeless at start. Hoping for better but blew it and made no ground. Never sighted. Butler gamble won.",9,7
"109",109,2022-03-13,"Limerick","Mi Lighthouse",100,2,"2nd","4/1","9/2",23,54,-100,1682,10900,21.1009174311927,49.5412844036697,15.4311926605505,"Hard to take. Cruised through in rear, hw on bridle looked  the winner but couldn’t get past an outsider.",5,5.5
"110",110,2022-03-15,"Southwell","Foreshadow",100,2,"2nd","9/1","12/1",23,55,-100,1582,11000,20.9090909090909,50,14.3818181818182,"Even harder. Stayed on strongly appreciating the step up in trip but a head down to the well backed fav.",10,13
"111",111,2022-03-16,"Huntingdon","Rathmacknee",100,3,"3rd","16/5","7/2",23,56,-100,1482,11100,20.7207207207207,50.4504504504504,13.3513513513514,"Cruising, going best turning in  then found nothing when asked to go and win it. Bitterly disappointing.",4.2,4.5
"112",112,2022-03-16,"Newcastle","Leopolds Rock",100,1,"Won*","9/2*","9/2",24,57,450,1932,11200,21.4285714285714,50.8928571428571,17.25,"Looked ominous when pulled hard early but well  treated for hcp debut . Well on top finish in a weak race.",5.5,5.5
"113",113,2022-03-17,"Down Royal","Fiston De Becon",100,0,"unpl","6/1","16/5",24,57,-100,1832,11300,21.2389380530973,50.4424778761062,16.212389380531,"Desperately disappointing with fav well held. Cruising then suddenly beaten. Long shots dominating.",7,4.2
"114",114,2022-03-17,"Southwell","Raydoun",100,0,"unpl","7/1","13/2",24,57,-100,1732,11400,21.0526315789474,50,15.1929824561403,"Ludicrously weak for one  that won so easily last time. Ignored the warning. Never in it. Inexplicable.",8,7.5
"115",115,2022-03-18,"Wolves","Rules Of Order",100,0,"unpl","16/1","12/1",24,57,-100,1632,11500,20.8695652173913,49.5652173913044,14.1913043478261,"Price was hard to ignore based on last run but another weak in the morning and  market  right as usual.",17,13
"116",116,2022-03-18,"Wolves","Seraphinite",100,0,"unpl","8/1","9/1",24,57,-100,1532,11600,20.6896551724138,49.1379310344828,13.2068965517241,"Havlin horror show. Full of running and went to the inside and was blocked off. Eased after, best in race.",9,10
"117",117,2022-03-19,"Fontwell","Dusky Days",100,2,"2nd","5/2","9/4",24,58,-100,1432,11700,20.5128205128205,49.5726495726496,12.2393162393162,"Looked possibly the classiest, but Harry Fry novice that had let me down previously, beat him.",3.5,3.2
"118",118,2022-03-19,"Fontwell","Game Socks",100,1,"Won*","11/2","5/1",25,59,550,1982,11800,21.1864406779661,50,16.7966101694915,"Suited by marathon trip. Led gw over last & held late challengers close home. Weak then backed late.",6.5,6
"119",119,2022-03-19,"Wolves","Nankeen",100,0,"unpl","5/2","4/1",25,59,-100,1882,11900,21.0084033613445,49.5798319327731,15.8151260504202,"V. weak Crisford runner. Needed to bounce back. Led, so couldn't win, but poor regardless. Drop this one.",3.5,5
"120",120,2022-03-19,"Wolves","Calonne",100,2,"2nd","4/1","9/2",25,60,-100,1782,12000,20.8333333333333,50,14.85,"Ran its race, camewith every chance but one too good. No excuses needed.",5,5.5
"121",121,2022-03-21,"Wincanton","Petrossian",100,2,"2nd","5/2","6/4",25,61,-100,1682,12100,20.6611570247934,50.4132231404959,13.900826446281,"Took on Tizzard morning fav with Nicholls that displaced it. Got punished as ever. Bad race. Pathetic run.",3.5,2.5
"122",122,2022-03-22,"Clonmel","Maxxum",100,1,"Won*","100/30","100/30",26,62,334,2016,12200,21.3114754098361,50.8196721311475,16.5245901639344,"Morning gamble, though I didn't realise had opened bigger. Rider less than convincing but job done.",4.3,4.3
"123",123,2022-03-22,"Wetherby","R Bernard",100,2,"2nd","13/2","3/1",26,63,-100,1916,12300,21.1382113821138,51.219512195122,15.5772357723577,"Heavily backed all day. Duly improved. Looked winner till last 50yds when one swooping wide got up on line.",7.5,4
"124",124,2022-03-23,"Dundalk","Wild Shot",100,0,"unpl","15/2","17/2",26,63,-100,1816,12400,20.9677419354839,50.8064516129032,14.6451612903226,"Poor run, not helped by Heffernan, all over the track and ended up with minor hw on the inside.",8.5,9.5
"125",125,2022-03-24,"Cork","Bugs Moran",100,3,"3rd","11/2","11/1",26,64,-100,1716,12500,20.8,51.2,13.728,"Took a hike in on course mkt but ran ok. Opening mark maybe just a bit high.",6.5,12
"126",126,2022-03-25,"Dundalk","Collective Power",100,2,"2nd","5/2","2/1",26,65,-100,1616,12600,20.6349206349206,51.5873015873016,12.8253968253968,"Everything right until something came and did him right on the line. Keeps happening!",3.5,3
"127",127,2022-03-25,"Dundalk","Patrick Street",100,0,"unpl","3/1","85/40",26,65,-100,1516,12700,20.4724409448819,51.1811023622047,11.9370078740157,"Class dropper after empatic win on hcp debut latest, but found nothing when needed and ran wide and last.",4,3.1
"128",128,2022-03-26,"Wolves","Gurkhali Warrior",100,3,"3rd","17/2","6/1",26,66,-100,1416,12800,20.3125,51.5625,11.0625,"Damaging chance taken on a wide runner. Never works. Ran well enough but the draw was a nightmare.",9.5,7
